time,open,high,low,close,Volume,Volume MA
2008-07-21T09:30:00-04:00,10.09,10.62,10.09,10.36,750743,608327.2
2008-07-22T09:30:00-04:00,10.29,10.8,10.24,10.73,576602,656564.2
2008-07-23T09:30:00-04:00,10.86,12.05,10.86,11.49,1082821,759286.2
2008-07-24T09:30:00-04:00,11.57,11.8,11.38,11.46,201530,638888.2
2008-07-25T09:30:00-04:00,11.54,11.68,11.25,11.39,306135,583566.2
2008-07-28T09:30:00-04:00,11.33,11.41,10.51,10.6,199337,473285
2008-07-29T09:30:00-04:00,10.66,11.06,10.57,11.04,202582,398481
2008-07-30T09:30:00-04:00,11.11,11.36,10.84,10.93,126993,207315.4
2008-07-31T09:30:00-04:00,10.51,10.54,9.21,9.43,620802,291169.8
2008-08-01T09:30:00-04:00,9.46,9.5,9.41,9.45,548396,339622
2008-08-04T09:30:00-04:00,9.48,9.98,9.35,9.38,864859,472726.4
2008-08-05T09:30:00-04:00,9.55,9.55,9.25,9.5,525390,537288
2008-08-06T09:30:00-04:00,9.5,10,9.45,9.87,791329,670155.2
2008-08-07T09:30:00-04:00,9.8,10.25,9.8,10.22,284655,602925.8
2008-08-08T09:30:00-04:00,10.27,11.23,10.1,11.11,446570,582560.6
2008-08-11T09:30:00-04:00,10.98,12.48,10.98,11.58,479144,505417.6
2008-08-12T09:30:00-04:00,11.51,12.22,11.27,11.76,631761,526691.8
2008-08-13T09:30:00-04:00,11.69,11.96,11.5,11.91,295858,427597.6
2008-08-14T09:30:00-04:00,11.85,12.24,11.58,11.98,338183,438303.2
2008-08-15T09:30:00-04:00,12.08,12.25,11.9428,12.17,319292,412847.6
2008-08-18T09:30:00-04:00,12.2,12.54,12.05,12.23,166358,350290.4
2008-08-19T09:30:00-04:00,12.12,12.25,11.66,11.88,353796,294697.4
2008-08-20T09:30:00-04:00,11.96,12.25,11.6549,12.01,115152,258556.2
2008-08-21T09:30:00-04:00,11.86,11.9,11.48,11.6,237263,238372.2
2008-08-22T09:30:00-04:00,11.68,12.23,11.68,12.03,111333,196780.4
2008-08-25T09:30:00-04:00,12.01,12.0599,11.13,11.44,278415,219191.8
2008-08-26T09:30:00-04:00,11.43,12.18,11.43,11.95,171408,182714.2
2008-08-27T09:30:00-04:00,11.93,11.93,11.05,11.2,334705,226624.8
2008-08-28T09:30:00-04:00,11.23,11.68,11,11.45,268298,232831.8
2008-08-29T09:30:00-04:00,11.42,11.61,10.6,10.88,339950,278555.2
2008-09-02T09:30:00-04:00,11.12,11.46,10.81,11.46,1196423,462156.8
2008-09-03T09:30:00-04:00,11.46,11.51,11.09,11.38,773536,582582.4
2008-09-04T09:30:00-04:00,11.08,11.43,10.69,11.06,595531,634747.6
2008-09-05T09:30:00-04:00,11.6,12.77,10.68,12.63,1010823,783252.6
2008-09-08T09:30:00-04:00,12.76,14,12.75,13.76,875103,890283.2
2008-09-09T09:30:00-04:00,13.27,13.84,13.24,13.44,715717,794142
2008-09-10T09:30:00-04:00,13.62,14.08,13.34,13.7,523082,744051.2
2008-09-11T09:30:00-04:00,13.48,13.93,13.4,13.92,262809,677506.8
2008-09-12T09:30:00-04:00,13.79,14.21,13.79,14,352781,545898.4
2008-09-15T09:30:00-04:00,13.7,14.12,13.32,13.73,292937,429465.2
2008-09-16T09:30:00-04:00,13.39,13.99,13.15,13.93,308222,347966.2
2008-09-17T09:30:00-04:00,13.76,14,12.68,13.86,467485,336846.8
2008-09-18T09:30:00-04:00,14,14.04,13.49,13.95,605170,405319
2008-09-19T09:30:00-04:00,14.62,14.95,14.04,14.7,880100,510782.8
2008-09-22T09:30:00-04:00,14.58,14.58,12.51,12.84,332409,518677.2
2008-09-23T09:30:00-04:00,12.83,13.27,12.24,12.69,252987,507630.2
2008-09-24T09:30:00-04:00,12.31,12.31,11.56,12.17,493968,512926.8
2008-09-25T09:30:00-04:00,12.21,12.69,12.1,12.58,414327,474758.2
2008-09-26T09:30:00-04:00,12.19,13.19,12.19,13.09,528837,404505.6
2008-09-29T09:30:00-04:00,13.15,14.06,12.76,13.08,685445,475112.8
2008-09-30T09:30:00-04:00,13.21,13.52,12.52,13.28,597393,543994
2008-10-01T09:30:00-04:00,13.13,13.42,13,13.16,167104,478621.2
2008-10-02T09:30:00-04:00,13.12,13.33,12.5,12.62,394433,474642.4
2008-10-03T09:30:00-04:00,12.94,13,12.11,12.16,406170,450109
2008-10-06T09:30:00-04:00,11.93,12.2,11.47,11.79,419196,396859.2
2008-10-07T09:30:00-04:00,12,12,10.87,10.9,234942,324369
2008-10-08T09:30:00-04:00,10.74,11.5,10.5,11.1,706946,432337.4
2008-10-09T09:30:00-04:00,11.34,11.46,10.17,10.34,849307,523312.2
2008-10-10T09:30:00-04:00,9.97,12.66,9.52,11.89,748820,591842.2
2008-10-13T09:30:00-04:00,12.55,12.55,10.98,11.45,273121,562627.2
2008-10-14T09:30:00-04:00,11.64,12.07,11.18,11.53,436262,602891.2
2008-10-15T09:30:00-04:00,11.49,11.53,10.05,10.31,151111,491724.2
2008-10-16T09:30:00-04:00,10.46,11.34,9.787,10.45,272944,376451.6
2008-10-17T09:30:00-04:00,10.29,10.96,10.03,10.57,258461,278379.8
2008-10-20T09:30:00-04:00,10.69,10.85,10.33,10.6,345981,292951.8
2008-10-21T09:30:00-04:00,10.44,10.9499,9.84,10.23,291703,264040
2008-10-22T09:30:00-04:00,9.97,10.87,8.95,9.38,259286,285675
2008-10-23T09:30:00-04:00,9.41,9.41,8.4,9.32,229503,276986.8
2008-10-24T09:30:00-04:00,8.57,9.42,8.57,8.97,223684,270031.4
2008-10-27T09:30:00-04:00,8.77,9.45,8,8.05,152539,231343
2008-10-28T09:30:00-04:00,8.19,9.2,7.71,9.15,180594,209121.2
2008-10-29T09:30:00-04:00,9.15,10.15,8.92,9.875,163735,190011
2008-10-30T09:30:00-04:00,10.13,10.28,9.13,9.28,231226,190355.6
2008-10-31T09:30:00-04:00,9.22,9.76,8.62,8.82,200709,185760.6
2008-11-03T09:30:00-05:00,8.81,9.2,8.81,9,208326,196918
2008-11-04T09:30:00-05:00,9.23,10.4,9.22,10.04,295520,219903.2
2008-11-05T09:30:00-05:00,9.93,9.93,8.81,8.84,136414,214439
2008-11-06T09:30:00-05:00,8.85,9.13,8.59,8.63,200547,208303.2
2008-11-07T09:30:00-05:00,8.73,8.96,8.53,8.74,223528,212867
2008-11-10T09:30:00-05:00,9.1,9.32,8.774,9.04,281228,227447.4
2008-11-11T09:30:00-05:00,8.98,9.04,8.21,8.5,298919,228127.2
2008-11-12T09:30:00-05:00,8.44,8.68,7.76,7.98,214170,243678.4
2008-11-13T09:30:00-05:00,8.02,8.25,7.16,8.05,276887,258946.4
2008-11-14T09:30:00-05:00,7.88,8.2,7.6,7.6,104215,235083.8
2008-11-17T09:30:00-05:00,7.56,7.97,7.49,7.79,171484,213135
2008-11-18T09:30:00-05:00,8,8.25,7.29,7.57,193937,192138.6
2008-11-19T09:30:00-05:00,7.6,7.92,7.49,7.53,194191,188142.8
2008-11-20T09:30:00-05:00,7.47,7.77,7.15,7.18,175348,167835
2008-11-21T09:30:00-05:00,7.22,7.44,6.84,7.42,170719,181135.8
2008-11-24T09:30:00-05:00,7.54,9.16,7.51,8.74,207934,188425.8
2008-11-25T09:30:00-05:00,7.34,8.105,6.85,7.03,448568,239352
2008-11-26T09:30:00-05:00,6.85,7.46,6.75,7.07,277235,255960.8
2008-11-28T09:30:00-05:00,7.06,7.39,7.06,7.18,95522,239995.6
2008-12-01T09:30:00-05:00,7.03,7.37,5.63,5.76,401520,286155.8
2008-12-02T09:30:00-05:00,5.87,6.369,5.76,6.28,281063,300781.6
2008-12-03T09:30:00-05:00,6.2,7.12,5.9,6.99,190246,249117.2
2008-12-04T09:30:00-05:00,6.96,8.09,6.74,7.6,439817,281633.6
2008-12-05T09:30:00-05:00,6.77,8.47,6.7,8.47,392498,341028.8
2008-12-08T09:30:00-05:00,8.57,9.99,8.33,9.78,471401,355005
2008-12-09T09:30:00-05:00,9.58,11.08,9.58,9.67,306006,359993.6
2008-12-10T09:30:00-05:00,9.68,9.68,8.412,8.49,382914,398527.2
2008-12-11T09:30:00-05:00,8.43,8.81,8.07,8.34,357806,382125
2008-12-12T09:30:00-05:00,8.74,9.21,8.13,9.21,321499,367925.2
2008-12-15T09:30:00-05:00,9.23,9.47,8.81,9.01,203706,314386.2
2008-12-16T09:30:00-05:00,9.17,9.7,9.12,9.67,211545,295494
2008-12-17T09:30:00-05:00,9.51,9.7299,9.4,9.51,151443,249199.8
2008-12-18T09:30:00-05:00,9.68,10.6,9.55,9.88,248728,227384.2
2008-12-19T09:30:00-05:00,9.89,10.5,9.89,10.3,245008,212086
2008-12-22T09:30:00-05:00,10.31,10.4774,9.25,9.67,113341,194013
